id,name,country,event_date,winner,format,slug,player_count,is_approximate_player_count
2492,Milwaukee WCQ Regional,United States,2024-12-14,Michael John Wagner,TCG,milwaukee-wcq-regional-2492,200,True
2494,Omaha WCQ Regional,United States,2024-12-15,Lucas Sacco,TCG,omaha-wcq-regional-2494,240,True
2495,Cork WCQ Regional,Ireland,2024-12-14,Jordan Gallacher,TCG,cork-wcq-regional-2495,50,True
2496,Cape Town WCQ Regional,South Africa,2024-12-14,Blaine Harris,TCG,cape-town-wcq-regional-2496,36,True
2497,Valencia WCQ Regional,Spain,2024-12-14,José Francisco Ricarte,TCG,valencia-wcq-regional-2497,100,True
2498,Cardiff WCQ Regional,United Kingdom,2024-12-14,Nicholas Crees,TCG,cardiff-wcq-regional-2498,127,True
2499,Saint Étienne WCQ Regional,France,2024-12-15,Robin Vandenbrussche,TCG,saint-étienne-wcq-regional-2499,120,True
2500,Caserta WCQ Regional,Italy,2024-12-15,Giovani Barone,TCG,caserta-wcq-regional-2500,140,True
2501,Cecina WCQ Regional,Italy,2024-12-15,Pietro Dardini,TCG,cecina-wcq-regional-2501,100,True
2502,Port Louis WCQ Regional,Mauritius,2024-12-15,Shaukat Raja,TCG,port-louis-wcq-regional-2502,50,True
2503,Birmingham WCQ Regional,United Kingdom,2024-12-15,Ben Sherman,TCG,birmingham-wcq-regional-2503,150,True
2504,Project CCG Remote Duel WCQ Regional,United States,2024-12-14,Andrew Williams,TCG,project-ccg-remote-duel-wcq-regional-2504,100,True
2505,German Open Frankfurt 2024,Germany,2024-12-15,Michael Dürr,TCG,german-open-frankfurt-2024-2505,701,False
2506,Famalicão WCQ Regional,Portugal,2024-12-14,Jefferson Douglas,TCG,famalicão-wcq-regional-2506,38,False
2507,YCSC Guangzhou 2024,China,2024-12-21,星梓,OCG,ycsc-guangzhou-2024-2507,2348,False
2508,Pittsboro WCQ Regional,United States,2024-12-21,Justin Chase Russel,TCG,pittsboro-wcq-regional-2508,300,True
2509,Lubbock WCQ Regional,United States,2024-12-21,Denny Ngo Vu,TCG,lubbock-wcq-regional-2509,400,True
2510,Little Rock WCQ Regional,United States,2024-12-21,Brett Shirley,TCG,little-rock-wcq-regional-2510,75,True
2511,San Diego WCQ Regional,United States,2024-12-21,Jesus Barrio,TCG,san-diego-wcq-regional-2511,230,False
2512,Lexington Remote Duel WCQ Regional,United States,2024-12-22,Franco Persano,TCG,lexington-remote-duel-wcq-regional-2512,75,True
2513,Altamura WCQ Regional,Italy,2024-12-22,Sonny Candeloro,TCG,altamura-wcq-regional-2513,104,False
2514,Saronno WCQ Regional,Italy,2024-12-22,Lorenzo Muselli,TCG,saronno-wcq-regional-2514,108,False
2515,63rd Ogu Event CS,Japan,2024-12-22,team 1,OCG,63rd-ogu-event-cs-2515,32,False
2516,21st Dacro CS,Japan,2024-12-22,ライリー(ハチ) さん,OCG,21st-dacro-cs-2516,44,False
2517,4th Paperplane CS,Japan,2024-12-22,蓮一色,OCG,4th-paperplane-cs-2517,66,False
2518,Thessaloniki  WCQ Regional,Greece,2024-12-21,Karatis Christos,TCG,thessaloniki-wcq-regional-2518,38,False
2519,Zouloux Master Duel Challenger Cup,France,2024-11-30,scarblack,Master Duel,zouloux-master-duel-challenger-cup-2519,256,False
2520,Jokah Master Duel Challenger Cup,United Kingdom,2024-12-06,asamaou2,Master Duel,jokah-master-duel-challenger-cup-2520,128,False
2521,Schattenspieler Master Duel Challenger Cup,Germany,2024-12-01,obada_ygo,Master Duel,schattenspieler-master-duel-challenger-cup-2521,256,False
2522,Gibes Master Duel Challenger Cup,China,2024-12-01,genhuukei_,Master Duel,gibes-master-duel-challenger-cup-2522,512,False
2523,Jokah Master Duel Challenger Cup,United Kingdom,2024-12-06,asamaou2,Master Duel,jokah-master-duel-challenger-cup-2523,128,False
2524,Lampi Master Duel Challenger Cup,United Kingdom,2024-10-26,fanshar,Master Duel,lampi-master-duel-challenger-cup-2524,128,False
2525,Joshua Master Duel Challenger Cup,United Kingdom,2024-10-27,mistilteinn,Master Duel,joshua-master-duel-challenger-cup-2525,512,False
2526,Jokah Master Duel Challenger Cup,United Kingdom,2024-11-29,oli.ko,Master Duel,jokah-master-duel-challenger-cup-2526,128,False
2527,El Guardian Master Duel Challenger Cup,Spain,2024-12-08,quantalthink,Master Duel,el-guardian-master-duel-challenger-cup-2527,512,False
2528,Viña del Mar WCQ Regional,Chile,2023-01-08,,TCG,viña-del-mar-wcq-regional-2528,100,True
2529,Burnaby WCQ Regional,United States,2022-11-06,,TCG,burnaby-wcq-regional-2529,150,True
2530,Los Angeles WCQ Regional,United States,2022-10-22,,TCG,los-angeles-wcq-regional-2530,200,True
2531,Massachusetts WCQ Regional,United States,2022-09-17,,TCG,massachusetts-wcq-regional-2531,200,True
2532,Richmond WCQ Regional,United States,2023-02-04,,TCG,richmond-wcq-regional-2532,200,True
2533,Vitrolles WCQ Regional,France,2024-12-21,Lucas Lancelot,TCG,vitrolles-wcq-regional-2533,139,False
2534,Santiago WCQ Regional,Chile,2024-12-28,Sebastian Alonso Salvatierra Leiva,TCG,santiago-wcq-regional-2534,222,False
2535,Richmond WCQ Regional,United States,2024-12-28,Ian Louis Valle Aquino,TCG,richmond-wcq-regional-2535,400,True
2536,Lyon WCQ Regional,France,2024-12-29,Ilias Fassi,TCG,lyon-wcq-regional-2536,101,False
2537,1923cs,South Korea,2024-12-28,비나나 님,OCG,1923cs-2537,36,False
2538,Qidian Card,China,2024-12-28,NO.641,OCG,qidian-card-2538,50,False
2539,Haikou Champion Card Christmast Tournament,China,2024-12-28,明久,OCG,haikou-champion-card-christmast-tournament-2539,60,False
2540,Tel Aviv WCQ Regional,Israel,2024-12-29,Simon Hatav,TCG,tel-aviv-wcq-regional-2540,71,False
2541,1923cs,South Korea,2024-12-28,비나나 님,OCG,1923cs-2541,36,False
2542,18th Tetsu Champion Ship ~Odile Call,Japan,2024-12-29,マコト,OCG,18th-tetsu-champion-ship-odile-call-2542,219,False
2543,Dragon Road Card Store Tournament,China,2024-12-28,player1,OCG,dragon-road-card-store-tournament-2543,39,False
2544,4th Shogun Festival,Japan,2024-12-29,カオドラシュンボルドバシャスイクン,OCG,4th-shogun-festival-2544,84,False
2545,24th Ogu Event CS,Japan,2024-12-29,プローワ,OCG,24th-ogu-event-cs-2545,57,False
2546,Rosemont WCQ Regional,United States,2025-01-05,Joe Dietrich,TCG,rosemont-wcq-regional-2546,400,True
2547,Greenville WCQ Regional,United States,2025-01-05,Aaron Levy,TCG,greenville-wcq-regional-2547,480,True
2548,Hartford WCQ Regional,United States,2025-01-11,Emmanuel Rayford,TCG,hartford-wcq-regional-2548,442,False
2549,Lexington Remote Duel WCQ Regional,United States,2025-01-05,Evan Hornick,TCG,lexington-remote-duel-wcq-regional-2549,75,False
2550,Saskatoon WCQ Regional,Canada,2025-01-04,Ethan Senecal,TCG,saskatoon-wcq-regional-2550,100,True
2551,Philadelphia WCQ Regional,United States,2025-01-04,Logan Shepard,TCG,philadelphia-wcq-regional-2551,706,True
2553,Charleroi WCQ Regional,Belgium,2025-01-05,Tim Gräfe,TCG,charleroi-wcq-regional-2553,400,False
2554,Bilbao WCQ Regional,Spain,2025-01-04,David Lara,TCG,bilbao-wcq-regional-2554,80,False
2555,Gateshead WCQ Regional,United Kingdom,2025-01-04,Andrew Thwaites,TCG,gateshead-wcq-regional-2555,70,True
2556,Cali WCQ Regional,Colombia,2025-01-05,Alejandro Rivera Caicedo,TCG,cali-wcq-regional-2556,180,True
2557,Kingston WCQ Regional,Jamaica,2025-01-05,,TCG,kingston-wcq-regional-2557,80,True
2558,Italian Open 2025,Italy,2025-01-05,Mario Tarantino,TCG,italian-open-2025-2558,512,False
2559,Heiligen Drei Könige 2025,Germany,2025-01-04,Keno Mandrysch,TCG,heiligen-drei-könige-2025-2559,128,True
2560,Montabaur WCQ Regional,Germany,2025-01-11,Niko Schlierkamp,TCG,montabaur-wcq-regional-2560,508,False
2561,3v3 Yu-Gi-Oh! Master Duel Challenger Cup,United Kingdom,2024-07-12,FSN,Master Duel,3v3-yu-gi-oh-master-duel-challenger-cup-2561,192,False
2562,EU Remote Duel YCS,United Kingdom,2021-07-11,Raphael Neven,TCG,eu-remote-duel-ycs-2562,1796,False
2563,Kent WCQ Regional,United Kingdom,2021-11-30,Gabriel Netz,TCG,kent-wcq-regional-2563,100,True
2564,Melksham WCQ Regional,United Kingdom,2021-11-30,JY Shariff,TCG,melksham-wcq-regional-2564,100,True
2565,The Side Deck NA WCQ Regional,United States,2021-11-28,Anthony Xu,TCG,the-side-deck-na-wcq-regional-2565,150,True
2566,The Side Deck NA WCQ Regional,United States,2021-11-07,Carlos Andres Perez Padilla,TCG,the-side-deck-na-wcq-regional-2566,150,True
2567,Luxembourg WCQ Regional,Luxembourg,2021-11-06,Adnan Kamick,TCG,luxembourg-wcq-regional-2567,100,True
2568,Alternate Universes NA WCQ Regional,United States,2021-11-14,Christopher Lin,TCG,alternate-universes-na-wcq-regional-2568,150,True
2569,TCG Collector NZ WCQ Regional,New Zealand,2021-05-14,Andrew Doodson,TCG,tcg-collector-nz-wcq-regional-2569,80,True
2570,Cologne WCQ Regional,Germany,2022-04-23,Jan S.,TCG,cologne-wcq-regional-2570,120,True
2571,Cologne WCQ Regional,Germany,2022-03-12,Amel Krijestorac,TCG,cologne-wcq-regional-2571,120,True
2572,Würzburg WCQ Regional,Germany,2022-03-20,Richard S.,TCG,würzburg-wcq-regional-2572,150,True
