card_name,product_id,set_code,set_name,rarity,product_line
Hidden Village of Ninjitsu Arts,450459,OP20-EN021,OTS Tournament Pack 20,Field Spell,yugioh
Lady Debug,173566,SDPL-EN005,Structure Deck: Powercode Link,Effect Monster,yugioh
Raidraptor - Napalm Dragonius,221656,DLCS-EN100,Dragons of Legend: The Complete Series,Effect Monster,yugioh
Ninja Grandmaster Hanzo,450454,OP20-EN016,OTS Tournament Pack 20,Effect Monster,yugioh
Ice Barrier,524668,RA01-EN071,25th Anniversary Rarity Collection,Normal Trap,yugioh
Dark Beckoning Beast,592360,RA03-EN027,Quarter Century Bonanza,Effect Monster,yugioh
Green Ninja,480403,PHHY-EN098,Photon Hypernova,Effect Monster,yugioh
Xyz Remora,274754,LED9-EN009,Legendary Duelists: Duels From the Deep,Effect Monster,yugioh
Volcanic Shell,500412,BLMR-EN053,Battles of Legend: Monstrous Revenge,Effect Monster,yugioh
Volcanic Shell,509902,LD10-EN025,Legendary Duelists: Soulburning Volcano,Effect Monster,yugioh
Xyz Remora,67606,CBLZ-EN011,Cosmo Blazer,Effect Monster,yugioh
Dark Beckoning Beast,248903,MP21-EN249,2021 Tin of Ancient Battles,Effect Monster,yugioh
Ninja Grandmaster Saizo,173476,SHVA-EN011,Shadows in Valhalla,Link/Effect Monster,yugioh
Tobari the Sky Ninja,482434,OP21-EN007,OTS Tournament Pack 21,Effect Monster,yugioh
Yubel,26607,PTDN-EN006,Phantom Darkness,Effect Monster,yugioh
Ice Barrier,256303,BROL-EN013,Brothers of Legend,Normal Trap,yugioh
Mitsu the Insect Ninja,514798,MP23-EN167,25th Anniversary Tin: Dueling Heroes Mega Pack,Effect Monster,yugioh
Ninjitsu Art of Dancing Leaves,450185,DABL-EN077,Darkwing Blast,Continuous Trap,yugioh
Opening of the Spirit Gates,217711,SDSA-EN020,Structure Deck: Sacred Beasts,Continuous Spell,yugioh
Yubel,56984,LCGX-EN197,Legendary Collection 2,Effect Monster,yugioh
Opening of the Spirit Gates,248905,MP21-EN251,2021 Tin of Ancient Battles,Continuous Spell,yugioh
Skull Invitation,23711,DB1,Dark Beginning 1,Common,Yu-Gi-Oh
Yubel,58011,RYMP-EN070,Ra Yellow Mega Pack,Effect Monster,yugioh
Silent Sea Nettle,256319,BROL-EN029,Brothers of Legend,Effect Monster,yugioh
Ninja Grandmaster Hanzo,173507,SHVA-EN022,Shadows in Valhalla,Effect Monster,yugioh
Ultimate Great Insect,480288,PHHY-EN035,Photon Hypernova,Effect Fusion Monster,yugioh
Ancient Sanctuary - Booster Pack [1st Edition],216726,AST,Ancient Sanctuary,"",Yu-Gi-Oh
Traptrix Sera (Quarter Century Secret Rare),627075,RA04,Quarter Century Stampede,Quarter Century Secret Rare,Yu-Gi-Oh
Jowgen the Spiritualist,476542,LON-EN061,Labyrinth of Nightmare (Worldwide English),Effect Monster,yugioh
Crackdown,232222,SDFC-EN040,Structure Deck: Freezing Chains,Continuous Trap,yugioh
Necrovalley,66994,LCYW-EN194,Legendary Collection 3: Yugi's World,Field Spell,yugioh
Crackdown,189433,DANE-EN078,Dark Neostorm,Continuous Trap,yugioh
Big-Winged Berfomet,579566,MP24-EN092,25th Anniversary Tin: Dueling Mirrors,Effect Monster,yugioh
Blackwing - Zephyros the Elite,607787,SDLI-EN022,Structure Deck: Realm of Light (2020 Date Reprint),Effect Monster,yugioh
Chimera Fusion,504862,DUNE-EN052,Duelist Nexus,Quick-Play Spell,yugioh
Blackwing - Zephyros the Elite,59339,BP01-EN215,Battle Pack: Epic Dawn,Effect Monster,yugioh
White Veil,543829,SGX4,Speed Duel GX: Midterm Destruction,Common,Yu-Gi-Oh
Survival's End,543830,SGX4,Speed Duel GX: Midterm Destruction,Common,Yu-Gi-Oh
Jowgen the Spiritualist,78052,AP03-EN015,Astral Pack 3,Effect Monster,yugioh
Necrovalley,38477,SDMA-EN025,Structure Deck: Marik,Field Spell,yugioh
Zoodiac Boarbow,232923,OP15-EN005,OTS Tournament Pack 15,Xyz/Effect Monster,yugioh
Gazelle the King of Mythical Claws,504718,DUNE-EN003,Duelist Nexus,Effect Monster,yugioh
Samsara Dragon,269299,GFP2-EN037,Ghosts From the Past: The 2nd Haunting,Effect Monster,yugioh
"Ringowurm, the Dragon Guarding the Hundred Apples",493875,CYAC-EN029,Cyberstorm Access,Effect Tuner Monster,yugioh
Vanquish Soul - Continue?,497888,WISU-EN025,Wild Survivors,Quick-Play Spell,yugioh
Swallow's Cowrie,651574,MP25-EN174,2025 Mega-Pack,Quick-Play Spell,yugioh
Necrovalley,66703,TU02-EN014,Turbo Pack: Booster Two,Field Spell,yugioh
Blackwing - Zephyros the Elite,485585,MAZE-EN039,Maze of Memories,Effect Monster,yugioh
Hieratic Dragon King of Atum,186985,DUPO-EN092,Duel Power,Xyz/Effect Monster,yugioh
Moon Mirror Shield,98477,CROS-EN081,Crossed Souls,Normal Spell,yugioh
Blackwing - Zephyros the Elite,210274,DUOV-EN066,Duel Overload,Effect Monster,yugioh
Zoodiac Boarbow,141705,MP17-EN209,2017 Mega-Tins Mega Pack,Xyz/Effect Monster,yugioh
Decisive Battle of Golgonda,450148,DABL-EN054,Darkwing Blast,Continuous Spell,yugioh
Hieratic Dragon King of Atum,59045,GAOV-EN047,Galactic Overlord,Xyz/Effect Monster,yugioh
Brigrand the Glory Dragon,268036,SDAZ-EN044,Structure Deck: Albaz Strike,Fusion/Effect Monster,yugioh
Duality,500376,BLMR-EN036,Battles of Legend: Monstrous Revenge,Quick-Play Spell,yugioh
Moon Mirror Shield,658303,OP29-EN008,OTS Tournament Pack 29,Equip Spell,yugioh
Magical Spring,92409,DUEA-EN065,Duelist Alliance,Normal Spell,yugioh
Necrovalley,26055,CP03-EN020,Champion Pack 3,Field Spell,yugioh
Zoodiac Chakanine,227458,MAGO-EN037,Maximum Gold,Xyz/Effect Monster,yugioh
Gazelle the King of Mythical Claws,579565,MP24-EN091,25th Anniversary Tin: Dueling Mirrors,Effect Monster,yugioh
Necrovalley,78251,RP02-EN079,Retro Pack 2,Normal Spell,yugioh
Zoodiac Boarbow,127309,RATE-EN054,Raging Tempest,Xyz/Effect Monster,yugioh
Jowgen the Spiritualist,24360,DB2-EN001,Dark Beginning 2,Effect Monster,yugioh
Crackdown,220801,MP20-EN084,2020 Tin of Lost Memories,Continuous Trap,yugioh
Zoodiac Chakanine,131165,MACR-EN048,Maximum Crisis,Xyz/Effect Monster,yugioh
Big-Winged Berfomet,504719,DUNE-EN004,Duelist Nexus,Effect Monster,yugioh
Chimera Fusion,579695,MP24-EN221,25th Anniversary Tin: Dueling Mirrors,Quick-Play Spell,yugioh
Moon Mirror Shield,149335,SDCL-EN030,Structure Deck: Cyberse Link,Equip Spell,yugioh
Crackdown,665423,PHRE-EN015,Phantom Revenge,Continuous Trap,yugioh
Vanquish Soul Dust Devil,497887,WISU-EN024,Wild Survivors,Quick-Play Spell,yugioh
Blackwing - Zephyros the Elite,177313,LED3-EN031,Legendary Duelists: White Dragon Abyss,Effect Monster,yugioh
Brigrand the Glory Dragon,248990,MP21-EN185,2021 Tin of Ancient Battles,Fusion/Effect Monster,yugioh
Necrovalley,129624,DUSA-EN050,Duelist Saga,Field Spell,yugioh
Necrovalley,71783,LCJW-EN260,Legendary Collection 4: Joey's World,Field Spell,yugioh
Jowgen the Spiritualist,276112,LDS3-EN003,Legendary Duelists: Season 3,Effect Monster,yugioh
Blackwing - Zephyros the Elite,91012,SDLI-EN022,Structure Deck: Realm of Light,Effect Monster,yugioh
Hieratic Dragon King of Atum,235790,GFTP-EN051,Ghosts From the Past,Xyz/Effect Monster,yugioh
Brigrand the Glory Dragon,226183,PHRA-EN031,Phantom Rage,Fusion/Effect Monster,yugioh
"Gragonith, Lightsworn Dragon",57910,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
R-Genex Turbo,38706,HA03,Hidden Arsenal 3,Super Rare,Yu-Gi-Oh
Jowgen the Spiritualist,22114,LON-061,Labyrinth of Nightmare,Effect Monster,yugioh
Jowgen the Spiritualist,24188,TP5-EN011,Tournament Pack 5,Normal Monster,yugioh
Foolish Return,451064,MAMA-EN084,Magnificent Mavens,Quick-Play Spell,yugioh
Magical Spring,105246,MP15-EN108,2015 Mega-Tins Mega Pack,Quick-Play Spell,yugioh
Necrovalley,649889,RP02-EN079,Retro Pack 2 (2020 Date Reprint),Normal Spell,yugioh
Foolish Return,257741,LART-EN042,The Lost Art Promotion,Normal Spell,yugioh
Ancient Sanctuary - Booster Pack [Unlimited Edition],216727,AST,Ancient Sanctuary,"",Yu-Gi-Oh
Prime Material Dragon,57911,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
Dark Armed Dragon,57912,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
Zombie World,179278,SR07-EN025,Structure Deck: Zombie Horde,Field Spell,yugioh
Lonefire Blossom,203884,MYFI-EN042,Mystic Fighters,Effect Monster,yugioh
Volcanic Rimfire,509889,LD10-EN020,Legendary Duelists: Soulburning Volcano,Effect Monster,yugioh
Dramatic Snake-Eye Chase,536432,PHNI-EN062,Phantom Nightmare,Quick-Play Spell,yugioh
Destrudo the Lost Dragon's Frisson,164866,OP07-EN007,OTS Tournament Pack 7,Tuner/Effect Monster,yugioh
Mudan the Rikka Fairy,211620,SESL-EN017,Secret Slayers,Effect Monster,yugioh
Mokey Mokey King,543831,SGX4,Speed Duel GX: Midterm Destruction,Common,Yu-Gi-Oh
Elemental HERO Wildedge,543832,SGX4,Speed Duel GX: Midterm Destruction,Common,Yu-Gi-Oh
Chimera the Illusion Beast,579693,MP24-EN219,25th Anniversary Tin: Dueling Mirrors,Fusion/Effect Monster,yugioh
Danger! Mothman!,454843,SR13-EN020,Structure Deck: Dark World,Effect Monster,yugioh
Zombie World,210300,DUOV-EN091,Duel Overload,Field Spell,yugioh
Zombie World,32855,SDZW-EN017,Structure Deck: Zombie World,Field Spell,yugioh
Lonefire Blossom,483679,SDBT-EN013,Structure Deck: Beware of Traptrix,Effect Monster,yugioh
Chimera the King of Phantom Beasts,504796,DUNE-EN033,Duelist Nexus,Effect Fusion Monster,yugioh
Destrudo the Lost Dragon's Frisson,148319,CIBR-EN038,Circuit Break,Tuner/Effect Monster,yugioh
Jurrac Aeolo,635999,BLMM-EN106,Battles of Legend: Monster Mayhem,Tuner Monster,yugioh
Aromaseraphy Jasmine,554950,BLTR-EN093,Battles of Legend: Terminal Revenge,Link/Effect Monster,yugioh
Rokket Synchron,220682,MP20-EN006,2020 Tin of Lost Memories,Tuner/Effect Monster,yugioh
Lonefire Blossom,32813,PTDN-EN088,Phantom Darkness,Effect Monster,yugioh
Jurrac Aeolo,81229,DT04-EN027,Duel Terminal 4,Tuner Monster,yugioh
Danger! Mothman!,178124,SOFU-EN084,Soul Fusion,Effect Monster,yugioh
Sylvan Dancepione,271738,DIFO-EN051,Dimension Force,Link/Effect Monster,yugioh
Rokket Synchron,184113,SAST-EN007,Savage Strike,Tuner/Effect Monster,yugioh
Slacker Magician,67648,CBLZ-EN053,Cosmo Blazer,Xyz/Effect Monster,yugioh
Lonefire Blossom,524518,RA01-EN002,25th Anniversary Rarity Collection,Effect Monster,yugioh
"Sacred Tree Beast, Hyperyton",231360,BLVO-EN047,Blazing Vortex,Xyz/Effect Monster,yugioh
Rikka Konkon,280031,POTE-EN066,Power of the Elements,Field Spell,yugioh
Rokket Synchron,196819,SDRR-EN012,Structure Deck: Rokket Revolt,Tuner/Effect Monster,yugioh
Sunseed Twin,235728,GFTP-EN017,Ghosts From the Past,Effect Monster,yugioh
Mudan the Rikka Fairy,485608,MAZE-EN048,Maze of Memories,Effect Monster,yugioh
Zombie World,71811,LCJW-EN213,Legendary Collection 4: Joey's World,Normal Spell,yugioh
Mekk-Knight Crusadia Avramax,524557,RA01-EN044,25th Anniversary Rarity Collection,Link/Effect Monster,yugioh
Sunvine Thrasher,235740,GFTP-EN024,Ghosts From the Past,Link/Effect Monster,yugioh
Destrudo the Lost Dragon's Frisson,174889,MP18-EN127,2018 Mega-Tins Mega Pack,Tuner/Effect Monster,yugioh
Rikka Queen Strenna,218942,ROTD-EN046,Rise of the Duelist,Xyz/Effect Monster,yugioh
Dark Simorgh,33729,SOVR-EN092,Stardust Overdrive,Effect Monster,yugioh
Lonefire Blossom,81666,PGLD-EN034,Premium Gold,Effect Monster,yugioh
Mekk-Knight Crusadia Avramax,220788,MP20-EN071,2020 Tin of Lost Memories,Link/Effect Monster,yugioh
Dark Simorgh,251608,OP17-EN016,OTS Tournament Pack 17,Effect Monster,yugioh
Destrudo the Lost Dragon's Frisson,275777,OP19-EN023,OTS Tournament Pack 19,Tuner/Effect Monster,yugioh
Lonefire Blossom,179245,AC18-EN017,Advent Calendar 2018,Effect Monster,yugioh
Zombie World,269555,GFP2-EN154,Ghosts From the Past: The 2nd Haunting,Ritual Spell,yugioh
Lonefire Blossom,275772,OP19-EN018,OTS Tournament Pack 19,Effect Monster,yugioh
Benghalancer the Resurgent,239512,LIOV-EN048,Lightning Overdrive,Link/Effect Monster,yugioh
Mirror Swordknight,504721,DUNE-EN006,Duelist Nexus,Effect Monster,yugioh
Worldsea Dragon Zealantis,627121,RA04-EN082,Quarter Century Stampede,Link/Effect Monster,yugioh
Zombie World,164878,OP07-EN019,OTS Tournament Pack 7,Field Spell,yugioh
Danger! Mothman!,197511,MP19-EN219,2019 Gold Sarcophagus Tin Mega Pack,Effect Monster,yugioh
Lonefire Blossom,33077,CP07-EN005,Champion Pack 7,Effect Monster,yugioh
Rikka Queen Strenna,249109,MP21-EN131,2021 Tin of Ancient Battles,Xyz/Effect Monster,yugioh
Cornfield Coatl,504720,DUNE-EN005,Duelist Nexus,Effect Monster,yugioh
Rikka Sheet,211632,SESL-EN026,Secret Slayers,Normal Trap,yugioh
Lonefire Blossom,79472,AP04-EN017,Astral Pack 4,Effect Monster,yugioh
Jurrac Aeolo,39627,HA04-EN017,Hidden Arsenal 4,Tuner Monster,yugioh
Lonefire Blossom,127837,FUEN-EN046,Fusion Enforcers,Effect Monster,yugioh
The Winged Dragon of Ra,23199,DOD-001,Dawn of Destiny Xbox,Normal Monster,yugioh
"Sacred Tree Beast, Hyperyton",284919,MP22-EN026,2022 Tin of the Pharaoh's Gods,Xyz/Effect Monster,yugioh
Mekk-Knight Crusadia Avramax,485623,MAZE-EN054,Maze of Memories,Effect Link Monster,yugioh
Chaos Sorcerer,57914,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
Cornfield Coatl,579681,MP24-EN207,25th Anniversary Tin: Dueling Mirrors,Effect Monster,yugioh
Lord of D.,57915,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
Mystic Tomato,57916,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
Summoner Monk,57917,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
Snipe Hunter,57918,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
Called by the Grave (New Art) (Quarter Century Secret Rare),627186,RA04,Quarter Century Stampede,Quarter Century Secret Rare,Yu-Gi-Oh
Rikka Princess,279989,POTE-EN027,Power of the Elements,Effect Monster,yugioh
Unexpected Dai,227577,MAGO-EN151,Maximum Gold,Normal Spell,yugioh
Blaze Accelerator,266129,SGX1-ENH14,Speed Duel GX: Duel Academy Box,Normal Spell,yugioh
Unexpected Dai,130138,SR04-EN028,Structure Deck: Dinosmasher's Fury,Normal Spell,yugioh
Volcanic Shell,487464,STP5-EN010,Speed Duel: Tournament Pack 5,Effect Monster,yugioh
Blaze Accelerator,67731,SDOK-EN025,Structure Deck: Onslaught of the Fire Kings,Normal Spell,yugioh
Blaze Accelerator,33057,CP06-EN005,Champion Pack 6,Normal Spell,yugioh
Snatch Steal,478856,SRL-EN036,Spell Ruler (Worldwide English),Normal Spell,yugioh
"Alsei, the Sylvan High Protector",485616,MAZE-EN052,Maze of Memories,Effect Xyz Monster,yugioh
Snatch Steal,486531,SRL-EN036,Spell Ruler (25th Anniversary Edition),Normal Spell,yugioh
Rikka Princess,514679,MP23-EN128,25th Anniversary Tin: Dueling Heroes Mega Pack,Effect Monster,yugioh
"Clara & Rushka, the Ventriloduo",158114,EXFO-EN049,Extreme Force,Link/Effect Monster,yugioh
Volcanic Emperor,509882,LD10-EN018,Legendary Duelists: Soulburning Volcano,Effect Monster,yugioh
Teardrop the Rikka Queen,485618,MAZE-EN053,Maze of Memories,Effect Xyz Monster,yugioh
"Alsei, the Sylvan High Protector",79020,LVAL-EN052,Legacy of the Valiant,Xyz/Effect Monster,yugioh
Volcanic Shell,266113,SGX1-ENH07,Speed Duel GX: Duel Academy Box,Effect Monster,yugioh
Spiritual Fire Art - Kurenai,80661,DR04-EN052,Dark Revelation Volume 4,Normal Trap,yugioh
Volcanic Shell,25733,FOTB-EN009,Force of the Breaker,Effect Monster,yugioh
Snatch Steal,25296,SD2-EN013,Structure Deck: Zombie Madness,Equip Spell,yugioh
Unexpected Dai,123556,LDK2-ENK32,Legendary Decks II,Normal Spell,yugioh
Rikka Petal,211617,SESL-EN014,Secret Slayers,Effect Monster,yugioh
Rikka Petal,485605,MAZE-EN047,Maze of Memories,Effect Monster,yugioh
Snatch Steal,24160,SD4-EN015,Structure Deck: Fury from the Deep,Equip Spell,yugioh
Blaze Accelerator Reload,509910,LD10-EN031,Legendary Duelists: Soulburning Volcano,Continuous Trap,yugioh
Snatch Steal,120624,SRL-036,Spell Ruler,Normal Spell,yugioh
Sunvine Healer,235739,GFTP-EN023,Ghosts From the Past,Link/Effect Monster,yugioh
Snatch Steal,23557,DB1-EN021,Dark Beginning 1,Equip Spell,yugioh
Snatch Steal,25266,SD1-EN010,Structure Deck: Dragon's Roar,Normal Spell,yugioh
Sunvine Sowing,285126,MP22-EN223,2022 Tin of the Pharaoh's Gods,Normal Spell,yugioh
Volcanic Shell,81482,DT06-EN051,Duel Terminal 6,Effect Monster,yugioh
Pitknight Earlie,514738,MP23-EN149,25th Anniversary Tin: Dueling Heroes Mega Pack,Effect Link Monster,yugioh
Sunvine Sowing,252612,BODE-EN065,Burst of Destiny,Normal Spell,yugioh
Infinitrack Mountain Smasher,186375,INCH-EN008,The Infinity Chasers,Xyz/Effect Monster,yugioh
Sunavalon Melias,239553,LIOV-EN098,Lightning Overdrive,Link/Effect Monster,yugioh
Unexpected Dai,98925,CROS-EN065,Crossed Souls,Normal Spell,yugioh
Sunavalon Melias,285117,MP22-EN115,2022 Tin of the Pharaoh's Gods,Link/Effect Monster,yugioh
Spiritual Fire Art - Kurenai,224997,SDCH-EN032,Structure Deck: Spirit Charmers,Normal Trap,yugioh
Barrier Statue of the Abyss,25511,CDIP-EN018,Cyberdark Impact,Effect Monster,yugioh
Rikka Glamour,485641,MAZE-EN062,Maze of Memories,Normal Spell,yugioh
Spiritual Fire Art - Kurenai,24454,CRV-EN052,Cybernetic Revolution,Normal Trap,yugioh
Sunavalon Dryas,235729,GFTP-EN018,Ghosts From the Past,Link/Effect Monster,yugioh
Volcanic Shell,32097,GLD2-EN024,Gold Series 2009,Effect Monster,yugioh
Herald of Creation,57919,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
"Jain, Lightsworn Paladin",57920,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
Spiritual Fire Art - Kurenai,528554,SR14-EN035,Structure Deck: Fire Kings,Normal Trap,yugioh
Volcanic Trooper,509885,LD10-EN019,Legendary Duelists: Soulburning Volcano,Effect Monster,yugioh
Blaze Accelerator,509908,LD10-EN030,Legendary Duelists: Soulburning Volcano,Continuous Spell,yugioh
Snatch Steal,24128,SD3-EN014,Structure Deck: Blaze of Destruction,Equip Spell,yugioh
"Alsei, the Sylvan High Protector",92770,MP14-EN221,2014 Mega-Tins Mega Pack,Xyz/Effect Monster,yugioh
Infinitrack Mountain Smasher,220930,MP20-EN213,2020 Tin of Lost Memories,Xyz/Effect Monster,yugioh
Unexpected Dai,242882,KICO-EN055,King's Court,Normal Spell,yugioh
Ariane the Labrynth Servant,514700,MP23-EN228,25th Anniversary Tin: Dueling Heroes Mega Pack,Effect Monster,yugioh
Volcanic Shell,184765,SDSB-EN021,Structure Deck: Soulburner,Effect Monster,yugioh
Spiritual Fire Art - Kurenai,67742,SDOK-EN036,Structure Deck: Onslaught of the Fire Kings,Normal Trap,yugioh
Blaze Accelerator Reload,95568,SECE-EN077,Secrets of Eternity,Normal Trap,yugioh
Dark Sage,23200,DOD,Dawn of Destiny Xbox,Prismatic Secret Rare,Yu-Gi-Oh
"Lyla, Lightsworn Sorceress",57921,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
Widespread Ruin,23201,DOD,Dawn of Destiny Xbox,Prismatic Secret Rare,Yu-Gi-Oh
Mesmeric Control (EU),123750,DOD,Dawn of Destiny Xbox,Super Rare,Yu-Gi-Oh
Panzer Dragon,161043,LED2-EN047,Legendary Duelists: Ancient Millennium,Fusion/Effect Monster,yugioh
Flame Bufferlo,205808,OP12-EN017,OTS Tournament Pack 12,Effect Monster,yugioh
Drytron Meteonis Quadrantids,228664,GEIM-EN030,Genesis Impact,Ritual/Effect Monster,yugioh
Drytron Gamma Eltanin,248914,MP21-EN238,2021 Tin of Ancient Battles,Effect Monster,yugioh
Rekindling,203898,MYFI-EN055,Mystic Fighters,Normal Spell,yugioh
Flame Bufferlo,227553,MAGO-EN127,Maximum Gold,Effect Monster,yugioh
Edge Imp Chain,645221,JUSH-EN012,Justice Hunters,Effect Monster,yugioh
Flame Bufferlo,173565,SDPL-EN004,Structure Deck: Powercode Link,Effect Monster,yugioh
Drytron Alpha Thuban,228656,GEIM-EN024,Genesis Impact,Effect Monster,yugioh
Drytron Nova,627207,RA04-EN097,Quarter Century Stampede,Normal Spell,yugioh
Seventh Ascension (UR),627216,RA04,Quarter Century Stampede,Ultra Rare,Yu-Gi-Oh
EM:P Meowmine,651454,MP25-EN054,2025 Mega-Pack,Effect Monster,yugioh
Edge Imp Chain,127810,FUEN-EN019,Fusion Enforcers,Effect Monster,yugioh
Cyber Angel Natasha,127290,RATE-EN036,Raging Tempest,Ritual/Effect Monster,yugioh
Volcanic Queen,26699,LODT-EN005,Light of Destruction,Effect Monster,yugioh
Drytron Delta Altais,228659,GEIM-EN027,Genesis Impact,Effect Monster,yugioh
Edge Imp Chain,122309,MP16-EN012,2016 Mega-Tins Mega Pack,Effect Monster,yugioh
Salamangreat Tiger,509817,LD10-EN003,Legendary Duelists: Soulburning Volcano,Effect Tuner Monster,yugioh
Salamangreat Heatleo,178002,SOFU-EN040,Soul Fusion,Link/Effect Monster,yugioh
Rekindling,67730,SDOK-EN024,Structure Deck: Onslaught of the Fire Kings,Normal Spell,yugioh
Drytron Gamma Eltanin,228658,GEIM-EN026,Genesis Impact,Effect Monster,yugioh
Volcanic Queen,509906,LD10-EN028,Legendary Duelists: Soulburning Volcano,Effect Monster,yugioh
Drytron Meteonis Draconids,228661,GEIM-EN029,Genesis Impact,Ritual/Effect Monster,yugioh
Drytron Zeta Aldhibah,228660,GEIM-EN028,Genesis Impact,Effect Monster,yugioh
Centur-Ion True Awakening,526990,VASM-EN024,Valiant Smashers,Counter Trap,yugioh
Salamangreat Falco,184753,SDSB-EN009,Structure Deck: Soulburner,Effect Monster,yugioh
Salamangreat Heatleo,184785,SDSB-EN041,Structure Deck: Soulburner,Link/Effect Monster,yugioh
Salamangreat Falco,197303,MP19-EN155,2019 Gold Sarcophagus Tin Mega Pack,Effect Monster,yugioh
Panzer Dragon,105276,MP15-EN124,2015 Mega-Tins Mega Pack,Fusion/Effect Monster,yugioh
Drytron Zeta Aldhibah,241486,OP16-EN012,OTS Tournament Pack 16,Effect Monster,yugioh
Drytron Delta Altais,241488,OP16-EN013,OTS Tournament Pack 16,Effect Monster,yugioh
Ghost Ogre & Snow Rabbit,122297,CT13-EN012,2016 Mega-Tins,Tuner/Effect Monster,yugioh
Rekindling,33183,ANPR-EN060,Ancient Prophecy,Normal Spell,yugioh
Salamangreat Heatleo,197480,MP19-EN186,2019 Gold Sarcophagus Tin Mega Pack,Link/Effect Monster,yugioh
Meteonis Drytron,627200,RA04-EN096,Quarter Century Stampede,Ritual Spell,yugioh
Frightfur Patchwork,178139,SOFU-EN099,Soul Fusion,Normal Spell,yugioh
Volcanic Queen,562182,LODT-EN005,Light of Destruction (2020 Date Reprint),Effect Monster,yugioh
Wailing of the Unchained Souls,200861,CHIM-EN055,Chaos Impact,Continuous Spell,yugioh
Vagnawa the Moon-Eating Dragon,651712,MP25-EN313,2025 Mega-Pack,Synchro/Effect Monster,yugioh
Drytron Nova,228668,GEIM-EN033,Genesis Impact,Normal Spell,yugioh
Rekindling,81626,DT07-EN094,Duel Terminal 7,Normal Spell,yugioh
Drytron Mu Beta Fafnir,285033,MP22-EN084,2022 Tin of the Pharaoh's Gods,Xyz/Effect Monster,yugioh
Odd-Eyes Wing Dragon,271822,DIFO-EN098,Dimension Force,Synchro/Pendulum/Effect Monster,yugioh
Rekindling,528534,SR14-EN028,Structure Deck: Fire Kings,Normal Spell,yugioh
Panzer Dragon,92319,DUEA-EN097,Duelist Alliance,Fusion/Effect Monster,yugioh
Ghost Ogre & Snow Rabbit,199548,DUDE-EN001,Duel Devastator,Tuner/Effect Monster,yugioh
Edge Imp Chain,98413,CROS-EN013,Crossed Souls,Effect Monster,yugioh
Drytron Zeta Aldhibah,248916,MP21-EN240,2021 Tin of Ancient Battles,Effect Monster,yugioh
D/D/D Vice King Requiem,269245,GFP2-EN002,Ghosts From the Past: The 2nd Haunting,Pendulum/Effect Monster,yugioh
Salamangreat Falco,177966,SOFU-EN004,Soul Fusion,Effect Monster,yugioh
Edge Imp Chain,453775,BLCR-EN078,Battles of Legend: Crystal Revenge,Effect Monster,yugioh
Unchained Twins - Rakea,200815,CHIM-EN009,Chaos Impact,Effect Monster,yugioh
Bubonic Vermin,23712,DB1,Dark Beginning 1,Common,Yu-Gi-Oh
Burning Land,23713,DB1,Dark Beginning 1,Common,Yu-Gi-Oh
EM:P Meowmine,536391,PHNI-EN032,Phantom Nightmare,Effect Monster,yugioh
Salamangreat Falco,235819,GFTP-EN089,Ghosts From the Past,Effect Monster,yugioh
Edge Imp Chain,626741,RA04-EN014,Quarter Century Stampede,Effect Monster,yugioh
Rekindling,96952,PGL2-EN053,Premium Gold: Return of the Bling,Normal Spell,yugioh
Frightfur Patchwork,186957,DUPO-EN067,Duel Power,Normal Spell,yugioh
Centur-Ion True Awakening,651695,MP25-EN296,2025 Mega-Pack,Counter Trap,yugioh
Unchained Twins - Rakea,220877,MP20-EN153,2020 Tin of Lost Memories,Effect Monster,yugioh
Kaibaman,57922,SDDC,Structure Deck: Dragons Collide,Common,Yu-Gi-Oh
Dark Sage (EU),214602,DOD,Dawn of Destiny Xbox,Super Rare,Yu-Gi-Oh
R-Genex Overseer,38707,HA03,Hidden Arsenal 3,Super Rare,Yu-Gi-Oh
"Qebehsenuef, Protection of Horus",579709,MP24-EN235,25th Anniversary Tin: Dueling Mirrors,Effect Monster,yugioh
Muddy Mudragon,216679,OP13-EN020,OTS Tournament Pack 13,Synchro/Effect Monster,yugioh
Earthbound Prisoner Stone Sweeper,532245,MZMI-EN028,Maze of Millennia,Effect Monster,yugioh
"Amorphactor Pain, the Imagination Dracoverlord",117937,SHVI-EN044,Shining Victories,Ritual/Effect Monster,yugioh
Tearlaments Grief,450150,DABL-EN056,Darkwing Blast,Normal Spell,yugioh
Odd-Eyes Vortex Dragon,147090,LEDD-ENC27,Legendary Dragon Decks,Fusion/Effect Monster,yugioh
Master Tao the Chanter,579711,MP24-EN237,25th Anniversary Tin: Dueling Mirrors,Effect Monster,yugioh
